"图解标题：20939319"
"#","日期 时间, GMT+08:00","温度, °C (LGR S/N: 20939319, SEN S/N: 20939319)","RH, % (LGR S/N: 20939319, SEN S/N: 20939319)","已连接主机 (LGR S/N: 20939319)","文件结尾 (LGR S/N: 20939319)"
1590,08/31/21 下午09时04分57秒,25.628,57.499,,
1591,08/31/21 下午09时05分57秒,25.628,57.529,,
1592,08/31/21 下午09时06分57秒,25.603,57.566,,
1593,08/31/21 下午09时07分57秒,25.603,57.642,,
1594,08/31/21 下午09时08分57秒,25.603,57.704,,
1595,08/31/21 下午09时09分57秒,25.603,57.765,,
1596,08/31/21 下午09时10分57秒,25.603,57.812,,
1597,08/31/21 下午09时11分57秒,25.603,57.781,,
1598,08/31/21 下午09时12分57秒,25.603,57.843,,
1599,08/31/21 下午09时13分57秒,25.628,57.853,,
1600,08/31/21 下午09时14分57秒,25.628,57.729,,
1601,08/31/21 下午09时15分57秒,25.603,57.719,,
1602,08/31/21 下午09时16分57秒,25.603,57.611,,
1603,08/31/21 下午09时17分57秒,25.603,57.673,,
1604,08/31/21 下午09时18分57秒,25.579,57.725,,
1605,08/31/21 下午09时19分57秒,25.579,57.802,,
1606,08/31/21 下午09时20分57秒,25.579,57.648,,
1607,08/31/21 下午09时21分57秒,25.579,57.450,,
1608,08/31/21 下午09时22分57秒,25.579,57.480,,
1609,08/31/21 下午09时23分57秒,25.603,57.627,,
1610,08/31/21 下午09时24分57秒,25.603,57.596,,
1611,08/31/21 下午09时25分57秒,25.603,57.459,,
1612,08/31/21 下午09时26分57秒,25.603,57.657,,
1613,08/31/21 下午09时27分57秒,25.603,57.781,,
1614,08/31/21 下午09时28分57秒,25.628,57.667,,
1615,08/31/21 下午09时29分57秒,25.628,57.621,,
1616,08/31/21 下午09时30分57秒,25.628,57.606,,
1617,08/31/21 下午09时31分57秒,25.628,57.606,,
1618,08/31/21 下午09时32分57秒,25.628,57.529,,
1619,08/31/21 下午09时33分57秒,25.628,57.652,,
1620,08/31/21 下午09时34分57秒,25.652,57.677,,
1621,08/31/21 下午09时35分57秒,25.676,57.686,,
1622,08/31/21 下午09时36分57秒,25.676,57.686,,
1623,08/31/21 下午09时37分57秒,25.652,57.708,,
1624,08/31/21 下午09时38分57秒,25.676,57.702,,
1625,08/31/21 下午09时39分57秒,25.652,57.769,,
1626,08/31/21 下午09时40分57秒,25.676,57.826,,
1627,08/31/21 下午09时41分57秒,25.676,57.951,,
1628,08/31/21 下午09时42分57秒,25.676,57.951,,
1629,08/31/21 下午09时43分57秒,25.701,58.087,,
1630,08/31/21 下午09时44分57秒,25.725,57.987,,
1631,08/31/21 下午09时45分57秒,25.725,58.002,,
1632,08/31/21 下午09时46分57秒,25.701,58.024,,
1633,08/31/21 下午09时47分57秒,25.676,58.045,,
1634,08/31/21 下午09时48分57秒,25.628,58.104,,
1635,08/31/21 下午09时49分57秒,25.628,58.200,,
1636,08/31/21 下午09时50分57秒,25.652,58.290,,
1637,08/31/21 下午09时51分57秒,25.701,58.360,,
1638,08/31/21 下午09时52分57秒,25.676,58.693,,
1639,08/31/21 下午09时53分57秒,25.628,58.507,,
1640,08/31/21 下午09时54分57秒,25.628,58.490,,
1641,08/31/21 下午09时55分57秒,25.628,58.507,,
1642,08/31/21 下午09时56分57秒,25.628,58.556,,
1643,08/31/21 下午09时57分57秒,25.628,58.507,,
1644,08/31/21 下午09时58分57秒,25.603,58.643,,
1645,08/31/21 下午09时59分57秒,25.603,58.710,,
1646,08/31/21 下午10时00分57秒,25.603,58.710,,
1647,08/31/21 下午10时01分57秒,25.603,58.710,,
1648,08/31/21 下午10时02分57秒,25.603,58.676,,
1649,08/31/21 下午10时03分57秒,25.603,58.660,,
1650,08/31/21 下午10时04分57秒,25.579,58.699,,
1651,08/31/21 下午10时05分57秒,25.579,58.798,,
1652,08/31/21 下午10时06分57秒,25.579,58.999,,
1653,08/31/21 下午10时07分57秒,25.603,59.044,,
1654,08/31/21 下午10时08分57秒,25.603,58.943,,
1655,08/31/21 下午10时09分57秒,25.603,58.994,,
1656,08/31/21 下午10时10分57秒,25.652,59.050,,
1657,08/31/21 下午10时11分57秒,25.652,58.915,,
1658,08/31/21 下午10时12分57秒,25.628,58.820,,
1659,08/31/21 下午10时13分57秒,25.676,58.910,,
1660,08/31/21 下午10时14分57秒,25.725,58.966,,
1661,08/31/21 下午10时15分57秒,25.749,59.147,,
1662,08/31/21 下午10时16分57秒,25.774,59.125,,
1663,08/31/21 下午10时17分57秒,25.822,59.148,,
1664,08/31/21 下午10时18分57秒,25.847,59.091,,
1665,08/31/21 下午10时19分57秒,25.871,59.119,,
1666,08/31/21 下午10时20分57秒,25.871,59.068,,
1667,08/31/21 下午10时21分57秒,25.895,59.080,,
1668,08/31/21 下午10时22分57秒,25.920,59.091,,
1669,08/31/21 下午10时23分57秒,25.920,59.006,,
1670,08/31/21 下午10时24分57秒,25.944,58.898,,
1671,08/31/21 下午10时25分57秒,25.944,58.932,,
1672,08/31/21 下午10时26分57秒,25.944,58.915,,
1673,08/31/21 下午10时27分57秒,25.968,58.825,,
1674,08/31/21 下午10时28分57秒,25.968,58.775,,
1675,08/31/21 下午10时29分57秒,25.993,58.753,,
1676,08/31/21 下午10时30分57秒,25.993,58.753,,
1677,08/31/21 下午10时31分57秒,25.993,58.820,,
1678,08/31/21 下午10时32分57秒,26.017,58.899,,
1679,08/31/21 下午10时33分57秒,26.017,58.848,,
1680,08/31/21 下午10时34分57秒,26.017,58.831,,
1681,08/31/21 下午10时35分57秒,26.017,58.848,,
1682,08/31/21 下午10时36分57秒,26.042,58.809,,
1683,08/31/21 下午10时37分57秒,26.042,58.809,,
1684,08/31/21 下午10时38分57秒,26.042,58.876,,
1685,08/31/21 下午10时39分57秒,26.066,58.854,,
1686,08/31/21 下午10时40分57秒,26.066,58.854,,
1687,08/31/21 下午10时41分57秒,26.066,58.955,,
1688,08/31/21 下午10时42分57秒,26.090,58.899,,
1689,08/31/21 下午10时43分57秒,26.090,58.865,,
1690,08/31/21 下午10时44分57秒,26.090,58.797,,
1691,08/31/21 下午10时45分57秒,26.090,58.865,,
1692,08/31/21 下午10时46分57秒,26.090,58.848,,
1693,08/31/21 下午10时47分57秒,26.115,58.724,,
1694,08/31/21 下午10时48分57秒,26.115,58.809,,
1695,08/31/21 下午10时49分57秒,26.115,58.741,,
1696,08/31/21 下午10时50分57秒,26.115,58.691,,
1697,08/31/21 下午10时51分57秒,26.139,58.619,,
1698,08/31/21 下午10时52分57秒,26.139,58.552,,
1699,08/31/21 下午10时53分57秒,26.139,58.536,,
1700,08/31/21 下午10时54分57秒,26.139,58.702,,
1701,08/31/21 下午10时55分57秒,26.139,58.752,,
1702,08/31/21 下午10时56分57秒,26.139,58.786,,
1703,08/31/21 下午10时57分57秒,26.163,58.814,,
1704,08/31/21 下午10时58分57秒,26.163,58.764,,
1705,08/31/21 下午10时59分57秒,26.163,58.663,,
1706,08/31/21 下午11时00分57秒,26.163,58.563,,
1707,08/31/21 下午11时01分57秒,26.163,58.563,,
1708,08/31/21 下午11时02分57秒,26.188,58.541,,
1709,08/31/21 下午11时03分57秒,26.188,58.724,,
1710,08/31/21 下午11时04分57秒,26.188,58.842,,
1711,08/31/21 下午11时05分57秒,26.188,58.758,,
1712,08/31/21 下午11时06分57秒,26.188,58.758,,
1713,08/31/21 下午11时07分57秒,26.188,58.825,,
1714,08/31/21 下午11时08分57秒,26.188,58.809,,
1715,08/31/21 下午11时09分57秒,26.188,58.741,,
1716,08/31/21 下午11时10分57秒,26.212,58.602,,
1717,08/31/21 下午11时11分57秒,26.212,58.618,,
1718,08/31/21 下午11时12分57秒,26.212,58.568,,
1719,08/31/21 下午11时13分57秒,26.212,58.736,,
1720,08/31/21 下午11时14分57秒,26.212,58.585,,
1721,08/31/21 下午11时15分57秒,26.237,58.713,,
1722,08/31/21 下午11时16分57秒,26.237,58.764,,
1723,08/31/21 下午11时17分57秒,26.237,58.780,,
1724,08/31/21 下午11时18分57秒,26.237,58.797,,
1725,08/31/21 下午11时19分57秒,26.237,58.747,,
1726,08/31/21 下午11时20分57秒,26.237,58.730,,
1727,08/31/21 下午11时21分57秒,26.237,58.696,,
1728,08/31/21 下午11时22分57秒,26.237,58.814,,
1729,08/31/21 下午11时23分57秒,26.261,58.843,,
1730,08/31/21 下午11时24分57秒,26.261,58.826,,
1731,08/31/21 下午11时25分57秒,26.261,58.657,,
1732,08/31/21 下午11时26分57秒,26.261,58.657,,
1733,08/31/21 下午11时27分57秒,26.261,58.691,,
1734,08/31/21 下午11时28分57秒,26.261,58.708,,
1735,08/31/21 下午11时29分57秒,26.261,58.541,,
1736,08/31/21 下午11时30分57秒,26.261,58.691,,
1737,08/31/21 下午11时31分57秒,26.285,58.769,,
1738,08/31/21 下午11时32分57秒,26.261,58.843,,
1739,08/31/21 下午11时33分57秒,26.285,58.820,,
1740,08/31/21 下午11时34分57秒,26.285,58.837,,
1741,08/31/21 下午11时35分57秒,26.285,58.854,,
1742,08/31/21 下午11时36分57秒,26.285,58.871,,
1743,08/31/21 下午11时37分57秒,26.285,58.837,,
1744,08/31/21 下午11时38分57秒,26.285,58.786,,
1745,08/31/21 下午11时39分57秒,26.285,58.837,,
1746,08/31/21 下午11时40分57秒,26.285,58.922,,
1747,08/31/21 下午11时41分57秒,26.310,58.865,,
1748,08/31/21 下午11时42分57秒,26.310,58.865,,
1749,08/31/21 下午11时43分57秒,26.310,58.848,,
1750,08/31/21 下午11时44分57秒,26.310,58.951,,
1751,08/31/21 下午11时45分57秒,26.310,58.951,,
1752,08/31/21 下午11时46分57秒,26.310,58.916,,
1753,08/31/21 下午11时47分57秒,26.310,58.916,,
1754,08/31/21 下午11时48分57秒,26.310,58.985,,
1755,08/31/21 下午11时49分57秒,26.310,58.985,,
1756,08/31/21 下午11时50分57秒,26.310,58.951,,
1757,08/31/21 下午11时51分57秒,26.334,58.962,,
1758,08/31/21 下午11时52分57秒,26.334,58.962,,
1759,08/31/21 下午11时53分57秒,26.310,58.968,,
1760,08/31/21 下午11时54分57秒,26.310,58.797,,
1761,08/31/21 下午11时55分57秒,26.334,58.540,,
1762,08/31/21 下午11时56分57秒,26.334,58.691,,
1763,08/31/21 下午11时57分57秒,26.334,58.860,,
1764,08/31/21 下午11时58分57秒,26.334,58.877,,
1765,08/31/21 下午11时59分57秒,26.359,58.820,,
1766,09/01/21 上午12时00分57秒,26.334,58.724,,
1767,09/01/21 上午12时01分57秒,26.334,58.860,,
1768,09/01/21 上午12时02分57秒,26.334,58.877,,
1769,09/01/21 上午12时03分57秒,26.334,58.928,,
1770,09/01/21 上午12时04分57秒,26.359,58.991,,
1771,09/01/21 上午12时05分57秒,26.359,58.871,,
1772,09/01/21 上午12时06分57秒,26.359,58.837,,
1773,09/01/21 上午12时07分57秒,26.359,58.974,,
1774,09/01/21 上午12时08分57秒,26.359,59.008,,
1775,09/01/21 上午12时09分57秒,26.359,59.008,,
1776,09/01/21 上午12时10分57秒,26.359,59.042,,
1777,09/01/21 上午12时11分57秒,26.359,59.042,,
1778,09/01/21 上午12时12分57秒,26.359,58.991,,
1779,09/01/21 上午12时13分57秒,26.359,59.060,,
1780,09/01/21 上午12时14分57秒,26.359,59.094,,
1781,09/01/21 上午12时15分57秒,26.359,59.112,,
1782,09/01/21 上午12时16分57秒,26.359,59.146,,
1783,09/01/21 上午12时17分57秒,26.359,59.146,,
1784,09/01/21 上午12时18分57秒,26.383,59.175,,
1785,09/01/21 上午12时19分57秒,26.383,59.141,,
1786,09/01/21 上午12时20分57秒,26.383,59.141,,
1787,09/01/21 上午12时21分57秒,26.383,59.106,,
1788,09/01/21 上午12时22分57秒,26.383,59.141,,
1789,09/01/21 上午12时23分57秒,26.383,59.141,,
1790,09/01/21 上午12时24分57秒,26.383,59.175,,
1791,09/01/21 上午12时25分57秒,26.383,59.228,,
1792,09/01/21 上午12时26分57秒,26.383,59.210,,
1793,09/01/21 上午12时27分57秒,26.383,59.141,,
1794,09/01/21 上午12时28分57秒,26.383,59.175,,
1795,09/01/21 上午12时29分57秒,26.407,59.187,,
1796,09/01/21 上午12时30分57秒,26.383,59.193,,
1797,09/01/21 上午12时31分57秒,26.383,59.158,,
1798,09/01/21 上午12时32分57秒,26.383,59.228,,
1799,09/01/21 上午12时33分57秒,26.407,59.240,,
1800,09/01/21 上午12时34分57秒,26.407,59.240,,
1801,09/01/21 上午12时35分57秒,26.383,59.228,,
1802,09/01/21 上午12时36分57秒,26.383,59.245,,
1803,09/01/21 上午12时37分57秒,26.407,59.257,,
1804,09/01/21 上午12时38分57秒,26.407,59.257,,
1805,09/01/21 上午12时39分57秒,26.407,59.240,,
1806,09/01/21 上午12时40分57秒,26.407,59.257,,
1807,09/01/21 上午12时41分57秒,26.407,59.240,,
1808,09/01/21 上午12时42分57秒,26.407,59.257,,
1809,09/01/21 上午12时43分57秒,26.407,59.205,,
1810,09/01/21 上午12时44分57秒,26.407,59.187,,
1811,09/01/21 上午12时45分57秒,26.407,59.275,,
1812,09/01/21 上午12时46分57秒,26.407,59.275,,
1813,09/01/21 上午12时47分57秒,26.407,59.328,,
1814,09/01/21 上午12时48分57秒,26.407,59.363,,
1815,09/01/21 上午12时49分57秒,26.407,59.398,,
1816,09/01/21 上午12时50分57秒,26.407,59.205,,
1817,09/01/21 上午12时51分57秒,26.407,59.257,,
1818,09/01/21 上午12时52分57秒,26.407,59.345,,
1819,09/01/21 上午12时53分57秒,26.407,59.310,,
1820,09/01/21 上午12时54分57秒,26.407,59.345,,
1821,09/01/21 上午12时55分57秒,26.407,59.363,,
1822,09/01/21 上午12时56分57秒,26.432,59.375,,
1823,09/01/21 上午12时57分57秒,26.407,59.398,,
1824,09/01/21 上午12时58分57秒,26.407,59.416,,
1825,09/01/21 上午12时59分57秒,26.432,59.322,,
1826,09/01/21 上午01时00分57秒,26.432,59.340,,
1827,09/01/21 上午01时01分57秒,26.432,59.410,,
1828,09/01/21 上午01时02分57秒,26.432,59.393,,
1829,09/01/21 上午01时03分57秒,26.432,59.446,,
1830,09/01/21 上午01时04分57秒,26.432,59.446,,
1831,09/01/21 上午01时05分57秒,26.456,59.440,,
1832,09/01/21 上午01时06分57秒,26.432,59.517,,
1833,09/01/21 上午01时07分57秒,26.432,59.571,,
1834,09/01/21 上午01时08分57秒,26.432,59.535,,
1835,09/01/21 上午01时09分57秒,26.432,59.553,,
1836,09/01/21 上午01时10分57秒,26.432,59.517,,
1837,09/01/21 上午01时11分57秒,26.432,59.535,,
1838,09/01/21 上午01时12分57秒,26.432,59.464,,
1839,09/01/21 上午01时13分57秒,26.432,59.481,,
1840,09/01/21 上午01时14分57秒,26.432,59.464,,
1841,09/01/21 上午01时15分57秒,26.432,59.499,,
1842,09/01/21 上午01时16分57秒,26.432,59.499,,
1843,09/01/21 上午01时17分57秒,26.432,59.535,,
1844,09/01/21 上午01时18分57秒,26.432,59.517,,
1845,09/01/21 上午01时19分57秒,26.432,59.571,,
1846,09/01/21 上午01时20分57秒,26.432,59.607,,
1847,09/01/21 上午01时21分57秒,26.432,59.553,,
1848,09/01/21 上午01时22分57秒,26.432,59.553,,
1849,09/01/21 上午01时23分57秒,26.432,59.571,,
1850,09/01/21 上午01时24分57秒,26.456,59.637,,
1851,09/01/21 上午01时25分57秒,26.432,59.661,,
1852,09/01/21 上午01时26分57秒,26.456,59.655,,
1853,09/01/21 上午01时27分57秒,26.456,59.619,,
1854,09/01/21 上午01时28分57秒,26.432,59.643,,
1855,09/01/21 上午01时29分57秒,26.432,59.697,,
1856,09/01/21 上午01时30分57秒,26.456,59.655,,
1857,09/01/21 上午01时31分57秒,26.432,59.499,,
1858,09/01/21 上午01时32分57秒,26.456,59.655,,
1859,09/01/21 上午01时33分57秒,26.456,59.530,,
1860,09/01/21 上午01时34分57秒,26.456,59.530,,
1861,09/01/21 上午01时35分57秒,26.456,59.601,,
1862,09/01/21 上午01时36分57秒,26.456,59.710,,
1863,09/01/21 上午01时37分57秒,26.456,59.619,,
1864,09/01/21 上午01时38分57秒,26.456,59.637,,
1865,09/01/21 上午01时39分57秒,26.456,59.710,,
1866,09/01/21 上午01时40分57秒,26.456,59.655,,
1867,09/01/21 上午01时41分57秒,26.456,59.637,,
1868,09/01/21 上午01时42分57秒,26.456,59.583,,
1869,09/01/21 上午01时43分57秒,26.456,59.728,,
1870,09/01/21 上午01时44分57秒,26.456,59.728,,
1871,09/01/21 上午01时45分57秒,26.456,59.764,,
1872,09/01/21 上午01时46分57秒,26.456,59.801,,
1873,09/01/21 上午01时47分57秒,26.456,59.673,,
1874,09/01/21 上午01时48分57秒,26.456,59.728,,
1875,09/01/21 上午01时49分57秒,26.456,59.801,,
1876,09/01/21 上午01时50分57秒,26.456,59.801,,
1877,09/01/21 上午01时51分57秒,26.456,59.782,,
1878,09/01/21 上午01时52分57秒,26.456,59.801,,
1879,09/01/21 上午01时53分57秒,26.456,59.819,,
1880,09/01/21 上午01时54分57秒,26.456,59.855,,
1881,09/01/21 上午01时55分57秒,26.456,59.892,,
1882,09/01/21 上午01时56分57秒,26.456,59.892,,
1883,09/01/21 上午01时57分57秒,26.456,59.874,,
1884,09/01/21 上午01时58分57秒,26.456,59.911,,
1885,09/01/21 上午01时59分57秒,26.456,59.911,,
1886,09/01/21 上午02时00分57秒,26.456,59.929,,
1887,09/01/21 上午02时01分57秒,26.456,59.892,,
1888,09/01/21 上午02时02分57秒,26.456,59.947,,
1889,09/01/21 上午02时03分57秒,26.456,59.911,,
1890,09/01/21 上午02时04分57秒,26.456,59.892,,
1891,09/01/21 上午02时05分57秒,26.456,59.874,,
1892,09/01/21 上午02时06分57秒,26.456,59.819,,
1893,09/01/21 上午02时07分57秒,26.456,59.819,,
1894,09/01/21 上午02时08分57秒,26.456,59.837,,
1895,09/01/21 上午02时09分57秒,26.456,59.892,,
1896,09/01/21 上午02时10分57秒,26.456,59.947,,
1897,09/01/21 上午02时11分57秒,26.456,59.966,,
1898,09/01/21 上午02时12分57秒,26.456,59.966,,
1899,09/01/21 上午02时13分57秒,26.456,59.984,,
1900,09/01/21 上午02时14分57秒,26.456,59.966,,
1901,09/01/21 上午02时15分57秒,26.456,59.966,,
1902,09/01/21 上午02时16分57秒,26.456,59.966,,
1903,09/01/21 上午02时17分57秒,26.456,59.929,,
1904,09/01/21 上午02时18分57秒,26.481,60.034,,
1905,09/01/21 上午02时19分57秒,26.456,60.021,,
1906,09/01/21 上午02时20分57秒,26.481,59.997,,
1907,09/01/21 上午02时21分57秒,26.456,59.947,,
1908,09/01/21 上午02时22分57秒,26.456,60.003,,
1909,09/01/21 上午02时23分57秒,26.456,60.040,,
1910,09/01/21 上午02时24分57秒,26.456,60.021,,
1911,09/01/21 上午02时25分57秒,26.456,60.077,,
1912,09/01/21 上午02时26分57秒,26.456,60.077,,
1913,09/01/21 上午02时27分57秒,26.481,60.090,,
1914,09/01/21 上午02时28分57秒,26.456,59.966,,
1915,09/01/21 上午02时29分57秒,26.456,59.947,,
1916,09/01/21 上午02时30分57秒,26.481,60.034,,
1917,09/01/21 上午02时31分57秒,26.481,60.034,,
1918,09/01/21 上午02时32分57秒,26.481,60.034,,
1919,09/01/21 上午02时33分57秒,26.456,59.984,,
1920,09/01/21 上午02时34分57秒,26.481,60.072,,
1921,09/01/21 上午02时35分57秒,26.481,60.109,,
1922,09/01/21 上午02时36分57秒,26.481,60.109,,
1923,09/01/21 上午02时37分57秒,26.481,60.128,,
1924,09/01/21 上午02时38分57秒,26.456,60.171,,
1925,09/01/21 上午02时39分57秒,26.481,60.165,,
1926,09/01/21 上午02时40分57秒,26.481,60.221,,
1927,09/01/21 上午02时41分57秒,26.481,60.221,,
1928,09/01/21 上午02时42分57秒,26.481,60.259,,
1929,09/01/21 上午02时43分57秒,26.456,60.246,,
1930,09/01/21 上午02时44分57秒,26.481,60.335,,
1931,09/01/21 上午02时45分57秒,26.481,60.240,,
1932,09/01/21 上午02时46分57秒,26.481,60.259,,
1933,09/01/21 上午02时47分57秒,26.481,60.297,,
1934,09/01/21 上午02时48分57秒,26.481,60.297,,
1935,09/01/21 上午02时49分57秒,26.481,60.335,,
1936,09/01/21 上午02时50分57秒,26.481,60.297,,
1937,09/01/21 上午02时51分57秒,26.481,60.203,,
1938,09/01/21 上午02时52分57秒,26.481,60.297,,
1939,09/01/21 上午02时53分57秒,26.481,60.316,,
1940,09/01/21 上午02时54分57秒,26.481,60.297,,
1941,09/01/21 上午02时55分57秒,26.481,60.354,,
1942,09/01/21 上午02时56分57秒,26.481,60.411,,
1943,09/01/21 上午02时57分57秒,26.481,60.411,,
1944,09/01/21 上午02时58分57秒,26.481,60.373,,
1945,09/01/21 上午02时59分57秒,26.481,60.297,,
1946,09/01/21 上午03时00分57秒,26.481,60.392,,
1947,09/01/21 上午03时01分57秒,26.481,60.373,,
1948,09/01/21 上午03时02分57秒,26.481,60.392,,
1949,09/01/21 上午03时03分57秒,26.481,60.373,,
1950,09/01/21 上午03时04分57秒,26.481,60.430,,
1951,09/01/21 上午03时05分57秒,26.481,60.449,,
1952,09/01/21 上午03时06分57秒,26.481,60.411,,
1953,09/01/21 上午03时07分57秒,26.481,60.430,,
1954,09/01/21 上午03时08分57秒,26.481,60.430,,
1955,09/01/21 上午03时09分57秒,26.481,60.507,,
1956,09/01/21 上午03时10分57秒,26.481,60.430,,
1957,09/01/21 上午03时11分57秒,26.481,60.373,,
1958,09/01/21 上午03时12分57秒,26.481,60.507,,
1959,09/01/21 上午03时13分57秒,26.481,60.488,,
1960,09/01/21 上午03时14分57秒,26.481,60.507,,
1961,09/01/21 上午03时15分57秒,26.481,60.468,,
1962,09/01/21 上午03时16分57秒,26.481,60.526,,
1963,09/01/21 上午03时17分57秒,26.481,60.468,,
1964,09/01/21 上午03时18分57秒,26.481,60.488,,
1965,09/01/21 上午03时19分57秒,26.481,60.449,,
1966,09/01/21 上午03时20分57秒,26.481,60.411,,
1967,09/01/21 上午03时21分57秒,26.481,60.488,,
1968,09/01/21 上午03时22分57秒,26.481,60.449,,
1969,09/01/21 上午03时23分57秒,26.481,60.507,,
1970,09/01/21 上午03时24分57秒,26.481,60.545,,
1971,09/01/21 上午03时25分57秒,26.481,60.584,,
1972,09/01/21 上午03时26分57秒,26.481,60.545,,
1973,09/01/21 上午03时27分57秒,26.481,60.584,,
1974,09/01/21 上午03时28分57秒,26.481,60.526,,
1975,09/01/21 上午03时29分57秒,26.481,60.526,,
1976,09/01/21 上午03时30分57秒,26.481,60.507,,
1977,09/01/21 上午03时31分57秒,26.481,60.488,,
1978,09/01/21 上午03时32分57秒,26.481,60.565,,
1979,09/01/21 上午03时33分57秒,26.481,60.584,,
1980,09/01/21 上午03时34分57秒,26.481,60.623,,
1981,09/01/21 上午03时35分57秒,26.481,60.623,,
1982,09/01/21 上午03时36分57秒,26.481,60.584,,
1983,09/01/21 上午03时37分57秒,26.481,60.623,,
1984,09/01/21 上午03时38分57秒,26.481,60.642,,
1985,09/01/21 上午03时39分57秒,26.481,60.642,,
1986,09/01/21 上午03时40分57秒,26.481,60.662,,
1987,09/01/21 上午03时41分57秒,26.481,60.662,,
1988,09/01/21 上午03时42分57秒,26.481,60.642,,
1989,09/01/21 上午03时43分57秒,26.481,60.662,,
1990,09/01/21 上午03时44分57秒,26.481,60.740,,
1991,09/01/21 上午03时45分57秒,26.481,60.720,,
1992,09/01/21 上午03时46分57秒,26.481,60.720,,
1993,09/01/21 上午03时47分57秒,26.481,60.759,,
1994,09/01/21 上午03时48分57秒,26.481,60.779,,
1995,09/01/21 上午03时49分57秒,26.481,60.818,,
1996,09/01/21 上午03时50分57秒,26.481,60.779,,
1997,09/01/21 上午03时51分57秒,26.481,60.759,,
1998,09/01/21 上午03时52分57秒,26.481,60.877,,
1999,09/01/21 上午03时53分57秒,26.481,60.877,,
2000,09/01/21 上午03时54分57秒,26.481,60.877,,
2001,09/01/21 上午03时55分57秒,26.481,60.917,,
2002,09/01/21 上午03时56分57秒,26.481,60.779,,
2003,09/01/21 上午03时57分57秒,26.481,60.798,,
2004,09/01/21 上午03时58分57秒,26.481,60.838,,
2005,09/01/21 上午03时59分57秒,26.481,60.877,,
2006,09/01/21 上午04时00分57秒,26.481,60.917,,
2007,09/01/21 上午04时01分57秒,26.481,60.857,,
2008,09/01/21 上午04时02分57秒,26.481,60.877,,
2009,09/01/21 上午04时03分57秒,26.481,60.936,,
2010,09/01/21 上午04时04分57秒,26.481,60.857,,
2011,09/01/21 上午04时05分57秒,26.481,60.838,,
2012,09/01/21 上午04时06分57秒,26.481,60.838,,
2013,09/01/21 上午04时07分57秒,26.481,60.877,,
2014,09/01/21 上午04时08分57秒,26.481,60.956,,
2015,09/01/21 上午04时09分57秒,26.481,60.877,,
2016,09/01/21 上午04时10分57秒,26.481,60.917,,
2017,09/01/21 上午04时11分57秒,26.481,60.976,,
2018,09/01/21 上午04时12分57秒,26.481,60.996,,
2019,09/01/21 上午04时13分57秒,26.481,60.936,,
2020,09/01/21 上午04时14分57秒,26.481,60.917,,
2021,09/01/21 上午04时15分57秒,26.481,60.936,,
2022,09/01/21 上午04时16分57秒,26.481,60.956,,
2023,09/01/21 上午04时17分57秒,26.481,60.956,,
2024,09/01/21 上午04时18分57秒,26.481,61.016,,
2025,09/01/21 上午04时19分57秒,26.481,60.936,,
2026,09/01/21 上午04时20分57秒,26.481,60.917,,
2027,09/01/21 上午04时21分57秒,26.481,60.936,,
2028,09/01/21 上午04时22分57秒,26.481,60.897,,
2029,09/01/21 上午04时23分57秒,26.456,60.745,,
2030,09/01/21 上午04时24分57秒,26.481,60.700,,
2031,09/01/21 上午04时25分57秒,26.481,60.662,,
2032,09/01/21 上午04时26分57秒,26.456,60.628,,
2033,09/01/21 上午04时27分57秒,26.456,60.609,,
2034,09/01/21 上午04时28分57秒,26.456,60.628,,
2035,09/01/21 上午04时29分57秒,26.456,60.628,,
2036,09/01/21 上午04时30分57秒,26.481,60.623,,
2037,09/01/21 上午04时31分57秒,26.456,60.686,,
2038,09/01/21 上午04时32分57秒,26.481,60.700,,
2039,09/01/21 上午04时33分57秒,26.456,60.706,,
2040,09/01/21 上午04时34分57秒,26.456,60.745,,
2041,09/01/21 上午04时35分57秒,26.456,60.725,,
2042,09/01/21 上午04时36分57秒,26.456,60.745,,
2043,09/01/21 上午04时37分57秒,26.456,60.764,,
2044,09/01/21 上午04时38分57秒,26.456,60.745,,
2045,09/01/21 上午04时39分57秒,26.456,60.745,,
2046,09/01/21 上午04时40分57秒,26.481,60.779,,
2047,09/01/21 上午04时41分57秒,26.456,60.804,,
2048,09/01/21 上午04时42分57秒,26.456,60.804,,
2049,09/01/21 上午04时43分57秒,26.456,60.823,,
2050,09/01/21 上午04时44分57秒,26.456,60.843,,
2051,09/01/21 上午04时45分57秒,26.456,60.863,,
2052,09/01/21 上午04时46分57秒,26.456,60.902,,
2053,09/01/21 上午04时47分57秒,26.456,60.902,,
2054,09/01/21 上午04时48分57秒,26.456,60.922,,
2055,09/01/21 上午04时49分57秒,26.456,60.922,,
2056,09/01/21 上午04时50分57秒,26.456,60.922,,
2057,09/01/21 上午04时51分57秒,26.456,60.922,,
2058,09/01/21 上午04时52分57秒,26.456,60.942,,
2059,09/01/21 上午04时53分57秒,26.456,60.982,,
2060,09/01/21 上午04时54分57秒,26.456,60.962,,
2061,09/01/21 上午04时55分57秒,26.456,60.982,,
2062,09/01/21 上午04时56分57秒,26.456,60.982,,
2063,09/01/21 上午04时57分57秒,26.456,61.001,,
2064,09/01/21 上午04时58分57秒,26.456,61.001,,
2065,09/01/21 上午04时59分57秒,26.456,61.001,,
2066,09/01/21 上午05时00分57秒,26.456,61.021,,
2067,09/01/21 上午05时01分57秒,26.456,61.041,,
